Topic,Owner,Owner URL,Repository Name,Repository URL,Description,Stars
Front end,thedaviddias,https://github.com/thedaviddias,Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,🗂 The perfect Front-End Checklist for modern websites and meticulous developers,72000
Front end,ionic-team,https://github.com/ionic-team,ionic-framework,https://github.com/ionic-team/ionic-framework,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",52300
Front end,expo,https://github.com/expo,expo,https://github.com/expo/expo,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web.",46600
Front end,dypsilon,https://github.com/dypsilon,frontend-dev-bookmarks,https://github.com/dypsilon/frontend-dev-bookmarks,Manually curated collection of resources for frontend web developers.,45800
Front end,LeCoupa,https://github.com/LeCoupa,awesome-cheatsheets,https://github.com/LeCoupa/awesome-cheatsheets,"👩‍💻👨‍💻 Awesome cheatsheets for popular programming languages, frameworks and development tools. They include everything you should know in one single file.",45200
Front end,GitHubDaily,https://github.com/GitHubDaily,GitHubDaily,https://github.com/GitHubDaily/GitHubDaily,"坚持分享 GitHub 上高质量、有趣实用的开源技术教程、开发者工具、编程网站、技术资讯。A list cool, interesting projects of GitHub.",44600
Front end,NaiboWang,https://github.com/NaiboWang,EasySpider,https://github.com/NaiboWang/EasySpider,A visual no-code/code-free web crawler/spider易采集：一个可视化浏览器自动化测试/数据采集/爬虫软件，可以无代码图形化的设计和执行爬虫任务。别名：ServiceWrapper面向Web应用的智能化服务封装系统。,43900
Front end,fastapi,https://github.com/fastapi,full-stack-fastapi-template,https://github.com/fastapi/full-stack-fastapi-template,"Full stack, modern web application template. Using FastAPI, React, SQLModel, PostgreSQL, Docker, GitHub Actions, automatic HTTPS and more.",40800
Front end,QuivrHQ,https://github.com/QuivrHQ,quivr,https://github.com/QuivrHQ/quivr,"Opiniated RAG for integrating GenAI in your apps 🧠 Focus on your product rather than the RAG. Easy integration in existing products with customisation! Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want.",38900
Front end,CorentinTh,https://github.com/CorentinTh,it-tools,https://github.com/CorentinTh/it-tools,"Collection of handy online tools for developers, with great UX.",36600
Front end,xitu,https://github.com/xitu,gold-miner,https://github.com/xitu/gold-miner,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：,34300
Front end,mouredev,https://github.com/mouredev,Hello-Python,https://github.com/mouredev/Hello-Python,"Curso para aprender el lenguaje de programación Python desde cero y para principiantes. 100 clases, 44 horas en vídeo, código, proyectos y grupo de chat. Fundamentos, frontend, backend, testing, IA...",34000
Front end,ascoders,https://github.com/ascoders,weekly,https://github.com/ascoders/weekly,前端精读周刊。帮你理解最前沿、实用的技术。,30800
Front end,Dokploy,https://github.com/Dokploy,dokploy,https://github.com/Dokploy/dokploy,"Open Source Alternative to Vercel, Netlify and Heroku.",29300
Front end,haizlin,https://github.com/haizlin,fe-interview,https://github.com/haizlin/fe-interview,前端面试每日 3+1，以面试题来驱动学习，提倡每日学习与思考，每天进步一点！每天早上5点纯手工发布面试题（死磕自己，愉悦大家），6000+道前端面试题全面覆盖，HTML/CSS/JavaScript/Vue/React/Nodejs/TypeScript/ECMAScritpt/Webpack/Jquery/小程序/软技能……,26200
Front end,onlook-dev,https://github.com/onlook-dev,onlook,https://github.com/onlook-dev/onlook,"The Cursor for Designers • An Open-Source AI-First Design tool • Visually build, style, and edit your React App with AI",24500
